token,progress
kevin,155.4
stamp,119.0
pepe,1.5095238095238095
bobo,146.355517142034
shib,0.1
punks,0.14761904761904762
rare,0.04285714285714286
gm,0.01904761904761905
alpha,0.0
a,150.0
wagmi,130.0
pizza,5.895238095238095
pies,200.0
$btc,0.004761904761904762
degen,0.0
punk,0.24
play,0.01000900900900901
boob,0.0
stmpp,0.004761904761904762
69420,0.0
rekt,9.999999999999999e-06
yotet,0.12071974033763218
$bobo,0.0
pluto,0.0
pixel,0.004761904761904762
purp,0.4761904761904762
danks,0.4761904761904762
420,2.0
69,0.5797101449275363
prune,0.0
naka,1.342281879194631
moon,0.09523809523809523
fake,0.2898550724637681
ether,0.02
wojak,0.0
dank,0.0
src20,0.7619047619047619
obi,37.68115942028986
jake,0.0
bro,0.2
